ID,Nationality,DistributionChannel,MarketSegment,SRAccessibleRoom,SRCrib,SRNoAlcoholInMiniBar,SRQuietRoom,PersonRoomRatio,BookingConversionRate,Continent,AccompanyingGuest,MultipleRooms,AgeGroup,LeadTimeSegment,FloorAsked,BathAsked,BedAsked,DistanceElevatorAsked,OtherRevenue_log,TotalRevenue_log,SpendingPerPerson_log,PersonsNights_log,AvgPersonsPerBooking_log,SpendingTier
10466,PRT,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),HighFloor,Not specified,Not specified,Not specified,0.8971531656909539,1.1093583218634973,-0.8890079175380277,2.2273821723486074,2.255380386805383,High Spender
10492,FRA,Direct,Direct,0,0,0,0,3.0891973561332087,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),HighFloor,Not specified,Other,Not specified,1.0626226393424414,1.8383695273034515,-0.3804380001309717,2.7111249575058602,2.7389517578086564,High Spender
10494,NLD,Direct,Direct,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),HighFloor,Not specified,Not specified,Away from elevator,1.092343831059297,0.8197267564855777,-1.2760604321998146,2.2273821723486074,2.255380386805383,High Spender
10497,CHE,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.072535303633943,1.6301171286596072,-0.18846513123086864,2.2273821723486074,2.255380386805383,High Spender
10499,NLD,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.0213966553915996,0.9867922496519159,-1.2701589028299067,2.4512291056422737,2.479147999985409,High Spender
10506,NOR,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.8678202398660786,1.774797688617231,-0.5791711625983611,2.8279071363871613,2.855692554949481,High Spender
10507,PRT,Corporate,Corporate,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,0,0,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,-1.718649229762144,-2.1016388256881404,-0.23756178450624116,-1.9715331565316145,-1.9420470573129047,Low Spender
10509,NOR,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Northern Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.911170085979568,2.89231720756327,1.6052315922653917,2.145921731200507,2.173948811147437,High Spender
10514,SWE,Direct,Direct,0,0,0,0,3.0891973561332087,0.03924461024147855,Northern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.121111235278856,1.1715121623595943,-1.023571246086317,2.4512291056422737,2.479147999985409,High Spender
10558,DEU,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.0587976674688964,1.343611700042855,-0.5745192428634432,2.2273821723486074,2.255380386805383,High Spender
